event,lon,lat,event_no,date_start,date_peak,date_end,duration,intensity_mean,intensity_max,intensity_cumulative,category,p_moderate,p_strong,p_severe,p_extreme,season
MHW,146.375,-43.875,76,19/02/2015,22/02/2015,23/02/2015,5,1.496,2.03,7.48,I Moderate,100,0,0,0,Summer
MCS,146.375,-43.875,71,8/09/2015,9/09/2015,14/09/2015,7,-1.214,-1.97,-8.5,II Strong,71,29,0,0,Winter
MHW,146.375,-43.875,77,23/11/2015,24/11/2015,28/11/2015,6,1.352,1.77,8.11,I Moderate,100,0,0,0,Spring
MHW,146.375,-43.875,78,21/12/2015,18/01/2016,24/02/2016,66,1.857,2.66,122.56,II Strong,79,20,0,0,Summer
MHW,146.375,-43.875,79,1/03/2016,21/03/2016,18/04/2016,49,1.718,2.65,84.2,II Strong,84,12,0,0,Summer
MHW,146.375,-43.875,80,24/04/2016,1/05/2016,10/05/2016,17,1.436,1.91,24.41,I Moderate,94,0,0,0,Fall
MHW,146.375,-43.875,81,31/05/2016,12/06/2016,6/07/2016,37,1.346,2.08,49.8,II Strong,92,8,0,0,Fall
MHW,146.375,-43.875,82,29/09/2016,1/10/2016,3/10/2016,5,0.986,1.05,4.93,I Moderate,100,0,0,0,Spring
MHW,146.375,-43.875,83,5/01/2017,7/01/2017,9/01/2017,5,1.584,2.16,7.92,I Moderate,100,0,0,0,Summer
MHW,146.375,-43.875,84,27/02/2017,14/03/2017,8/05/2017,71,1.59,2.62,112.86,II Strong,86,8,0,0,Summer
MHW,146.375,-43.875,85,12/11/2017,21/11/2017,2/12/2017,21,2.49,4.34,52.29,III Severe,57,14,29,0,Spring
MHW,146.375,-43.875,86,25/12/2017,27/12/2017,29/12/2017,5,1.702,2.23,8.51,I Moderate,100,0,0,0,Spring
MHW,146.375,-43.875,87,8/01/2018,11/01/2018,12/01/2018,5,1.51,1.87,7.55,I Moderate,100,0,0,0,Summer
MHW,146.375,-43.875,88,16/01/2018,28/01/2018,15/02/2018,31,2.373,3.85,73.57,III Severe,35,58,6,0,Summer
MHW,146.375,-43.875,89,27/04/2018,30/04/2018,2/05/2018,6,1.23,1.33,7.38,I Moderate,100,0,0,0,Fall
MHW,146.375,-43.875,90,2/06/2018,6/06/2018,15/06/2018,14,1.355,1.64,18.97,I Moderate,100,0,0,0,Fall
MHW,146.375,-43.875,91,7/12/2018,15/12/2018,16/12/2018,10,1.485,1.86,14.85,I Moderate,100,0,0,0,Spring
MHW,146.375,-43.875,92,24/12/2018,3/01/2019,5/01/2019,13,1.526,2.16,19.84,I Moderate,100,0,0,0,Summer
MHW,146.375,-43.875,93,9/01/2019,17/01/2019,25/01/2019,17,1.835,2.29,31.2,II Strong,71,29,0,0,Summer
MHW,146.375,-43.875,94,31/01/2019,4/02/2019,10/02/2019,11,1.47,1.69,16.17,I Moderate,100,0,0,0,Summer
MHW,146.375,-43.875,95,27/02/2019,2/03/2019,5/03/2019,7,1.744,2.12,12.21,II Strong,86,14,0,0,Summer
MHW,146.375,-43.875,96,18/03/2019,24/03/2019,31/03/2019,14,1.375,1.72,19.25,I Moderate,100,0,0,0,Summer
MHW,146.375,-43.875,97,12/04/2019,16/04/2019,24/04/2019,13,1.48,1.98,19.24,I Moderate,100,0,0,0,Fall
MCS,146.375,-43.875,72,2/12/2019,4/12/2019,6/12/2019,5,-1.388,-1.44,-6.94,I Moderate,100,0,0,0,Spring
MCS,146.375,-43.875,73,10/12/2019,12/12/2019,16/12/2019,7,-1.247,-1.37,-8.73,I Moderate,100,0,0,0,Spring
MHW,146.375,-43.875,98,11/08/2020,14/08/2020,16/08/2020,6,0.9,0.95,5.4,I Moderate,100,0,0,0,Winter
MHW,146.375,-43.875,99,22/11/2020,22/11/2020,26/11/2020,5,1.46,1.85,7.3,I Moderate,100,0,0,0,Spring
MHW,146.375,-43.875,100,3/01/2021,4/01/2021,9/01/2021,7,1.206,1.27,8.44,I Moderate,100,0,0,0,Summer
MHW,146.375,-43.875,101,13/01/2021,14/01/2021,18/01/2021,6,1.182,1.28,7.09,I Moderate,100,0,0,0,Summer
MHW,146.375,-43.875,102,13/02/2021,19/02/2021,26/02/2021,14,1.825,2.4,25.55,II Strong,86,14,0,0,Summer
MHW,146.375,-43.875,103,10/03/2021,14/03/2021,14/03/2021,5,1.41,1.66,7.05,I Moderate,100,0,0,0,Summer
MHW,146.375,-43.875,104,23/03/2021,27/03/2021,13/04/2021,22,1.338,1.72,29.44,I Moderate,95,0,0,0,Summer
MHW,146.375,-43.875,105,29/06/2021,1/07/2021,4/07/2021,6,0.958,1.04,5.75,I Moderate,100,0,0,0,Winter
